Student_ID,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S2176,Female,20,Business,75.431409455843,49.11,94.47,73.96,67.11,6.23,77.43,A,8.6,No,Yes,Medium,6,5.4
S2177,Male,21,Engineering,87.67,42.81,71.6,87.11,53.54,5.85,96.19,A,10.8,No,Yes,Medium,5,5.6
S2178,Female,24,Engineering,75.431409455843,72.29,73.97,60.93,60.69,5.98,90.85,F,5.4,No,Yes,Low,3,7.8
S2179,Male,21,CS,88.17,54.09,50.57,55.65,81.4,1.89,59.58,A,27.2,Yes,Yes,Low,3,7.2
S2180,Female,21,Mathematics,75.431409455843,58.07,69.92,74.79867276377426,51.41,7.92,56.62,F,11.1,No,Yes,Low,4,5.1
S2181,Female,20,CS,83.59,54.71,95.09,99.19,79.61,4.34,93.06,B,28.2,No,Yes,High,5,8.7
S2182,Male,19,CS,64.6,79.01,73.52,80.04,97.84,4.72,76.81,D,19.3,No,Yes,Medium,7,5.5
S2183,Female,20,CS,75.431409455843,73.21,55.31,84.55,89.75,9.97,50.99,B,15.6,No,Yes,Medium,9,6.7
S2184,Male,18,Mathematics,55.52,44.68,41.87,78.06,67.28,2.82,96.71,F,5.2,No,Yes,High,5,6.9
S2185,Male,19,Mathematics,73.58,71.59,60.18,89.12,56.91,3.94,73.65,D,7.3,Yes,No,Medium,2,5.1
S2186,Male,21,Engineering,75.431409455843,87.47,74.36,98.79,73.25,6.76,65.05,C,9.0,Yes,Yes,Low,9,5.5
S2187,Female,23,Business,67.45,44.87,42.56,77.21,69.65,8.8,75.83,B,7.6,Yes,Yes,High,5,6.4
S2188,Male,23,CS,58.13,93.38,76.59,74.79867276377426,98.59,1.27,91.15,C,11.4,No,Yes,Low,6,5.3
S2189,Male,24,Mathematics,61.5,74.7,71.4,93.02,99.49,7.35,55.51,C,8.9,Yes,Yes,Low,9,5.5
S2190,Female,22,CS,53.83,97.04,87.01,98.49,70.53,9.18,67.95,C,21.6,No,Yes,Low,4,7.1
S2191,Female,24,CS,96.0,48.89,41.73,56.46,57.44,4.23,65.94,B,12.4,No,Yes,Medium,3,7.7
S2192,Female,19,CS,76.52,99.61,86.85,78.91,95.53,2.87,91.98,B,23.0,Yes,Yes,High,4,8.0
S2193,Female,21,Engineering,69.84,78.66,71.25,74.79867276377426,89.68,6.78,88.92,F,8.4,No,Yes,Medium,8,4.6
S2194,Female,19,Business,75.431409455843,74.05,62.23,76.67,75.56,2.46,70.01,C,10.2,No,Yes,Medium,7,7.7
S2195,Female,19,CS,81.41,70.92,97.92,70.46,68.27,3.84,83.22,F,24.7,Yes,Yes,Medium,7,8.7
S2196,Male,23,Mathematics,75.431409455843,41.42,49.61,82.76,72.41,8.97,69.72,C,20.9,Yes,Yes,Medium,1,6.9
S2197,Female,20,Engineering,58.93,96.38,72.48,63.51,95.09,5.9,78.57,F,7.4,No,No,Medium,2,7.0
S2198,Male,18,CS,64.78,78.64,59.26,67.46,59.23,0.95,99.56,B,29.0,No,Yes,Low,3,8.8
S2199,Female,22,Engineering,98.79,45.5,71.65,99.61,90.34,3.3,76.78,A,24.1,No,Yes,Low,1,8.3
S2200,Male,21,Engineering,75.431409455843,41.26,73.14,81.82,50.91,6.27,99.43,B,18.8,No,Yes,Low,9,6.8
S2201,Male,19,Business,51.13,43.05,45.37,93.65,96.03,4.81,87.36,C,13.6,No,Yes,Medium,9,7.8
S2202,Female,22,Engineering,57.38,76.56,79.67,90.39,75.01,6.6,56.04,D,7.3,No,Yes,Medium,5,4.9
S2203,Female,19,Engineering,51.32,76.84,78.07,82.61,61.34,7.61,89.8,D,14.0,No,Yes,Medium,4,6.1
S2204,Male,23,CS,99.5,69.98,86.17,92.04,50.14,4.81,58.06,B,13.1,No,Yes,Low,3,7.6
S2205,Female,18,Engineering,63.94,58.41,45.44,64.36,77.98,9.87,76.62,A,7.0,No,Yes,Low,9,5.4
S2206,Female,23,Mathematics,96.18,71.9,57.84,81.86,62.22,9.15,80.66,A,24.6,No,No,Medium,2,6.3
S2207,Male,22,CS,99.79,70.98,79.01,79.53,81.56,0.6,94.61,B,15.4,No,Yes,Low,8,4.9
S2208,Male,21,Business,79.99,41.16,48.2,81.12,64.06,2.66,60.52,C,27.2,No,No,Medium,7,8.5
S2209,Male,19,Engineering,51.66,56.95,80.66,58.43,54.4,3.01,93.8,F,8.9,No,Yes,High,2,8.5
S2210,Female,18,CS,75.431409455843,43.19,43.54,63.86,75.25,1.84,96.72,C,12.9,Yes,Yes,Low,3,6.4
S2211,Female,23,Mathematics,74.08,94.01,60.1,64.33,78.22,3.12,54.47,D,12.0,Yes,Yes,Low,2,5.0
S2212,Female,22,Engineering,70.31,83.51,90.8,80.1,72.63,4.25,94.26,B,26.6,No,Yes,High,3,7.4
S2213,Female,23,CS,80.31,99.77,86.46,98.63,72.9,0.52,62.96,D,17.7,No,Yes,Low,4,5.1
S2214,Male,19,CS,71.94,58.13,78.69,97.7,79.48,1.27,54.05,C,8.5,No,Yes,High,5,5.1
S2215,Female,19,CS,75.431409455843,92.71,92.23,61.36,76.32,0.96,97.93,A,13.9,Yes,Yes,High,2,8.9
S2216,Male,21,Business,76.74,76.18,82.56,65.24,56.63,0.46,69.61,D,28.6,No,No,Medium,7,4.5
S2217,Female,18,Engineering,84.69,67.19,71.16,51.8,59.85,4.81,81.15,D,18.8,No,Yes,Medium,4,5.9
S2218,Female,20,Mathematics,75.431409455843,53.35,98.78,69.94,57.09,3.34,77.64,C,5.9,No,Yes,Low,1,6.8
S2219,Male,23,CS,75.431409455843,84.3,81.69,91.73,84.66,9.35,60.66,C,6.4,No,Yes,Low,4,4.5
S2220,Female,19,CS,61.49,94.25,76.08,95.79,76.43,1.03,83.48,B,10.9,No,Yes,Medium,9,4.2
S2221,Female,22,CS,55.37,54.12,64.53,61.82,71.49,9.26,52.31,F,20.5,No,Yes,Medium,5,6.7
S2222,Male,23,Engineering,56.98,50.52,94.14,63.29,89.92,0.87,60.15,D,11.1,No,Yes,High,2,4.6
S2223,Female,21,Mathematics,75.63,81.77,57.74,61.04,66.29,6.19,97.23,D,26.3,No,Yes,Medium,6,5.3
S2224,Male,21,Engineering,66.06,98.62,40.55,67.51,78.41,2.48,97.68,F,20.7,No,Yes,Medium,7,6.5
S2225,Male,19,CS,75.431409455843,85.0,51.8,90.24,53.72,8.27,74.13,B,12.5,No,Yes,Low,2,5.7
S2226,Male,19,Business,99.12,57.07,46.57,82.34,87.22,0.61,58.45,A,14.8,No,Yes,Medium,10,7.6
S2227,Male,19,Business,57.84,65.2,59.14,89.3,84.76,9.53,71.08,C,14.4,Yes,Yes,Low,2,8.8
S2228,Female,24,CS,77.04,63.06,89.55,74.79867276377426,90.12,0.47,93.85,F,12.9,No,Yes,Medium,10,7.8
S2229,Female,20,Business,54.94,91.13,79.09,62.89,94.22,2.41,53.51,C,20.7,No,Yes,High,3,9.0
S2230,Female,19,CS,65.92,86.28,50.14,61.4,87.9,4.64,56.39,F,10.0,Yes,Yes,Medium,10,5.9
S2231,Male,23,CS,75.431409455843,75.34,87.33,50.45,92.22,7.56,94.78,A,12.3,No,Yes,Low,4,5.5
S2232,Female,23,CS,97.33,56.5,70.25,89.05,67.28,9.51,70.77,A,7.1,No,Yes,Medium,5,5.1
S2233,Female,24,Engineering,69.56,96.28,70.76,92.36,67.17,4.28,54.17,F,14.4,Yes,Yes,High,3,8.4
S2234,Female,24,Engineering,53.25,79.2,61.73,88.41,97.22,7.57,56.96,D,6.6,No,No,Medium,4,5.9
S2235,Female,18,CS,69.41,98.23,91.88,53.72,95.73,7.27,94.12,C,5.4,No,Yes,Medium,7,7.6
S2236,Male,22,CS,75.431409455843,74.81,59.1,88.11,77.42,5.71,74.51,C,21.1,No,Yes,Medium,6,7.4
S2237,Male,19,Business,61.5,89.27,45.65,52.29,68.33,6.91,58.15,A,9.1,No,Yes,High,2,4.3
S2238,Female,23,Mathematics,80.9,88.79,58.16,55.28,93.3,0.38,94.7,F,5.9,No,Yes,Low,7,8.4
S2239,Male,24,Business,53.37,60.24,82.92,72.02,66.17,4.42,92.26,D,6.7,No,Yes,High,2,6.4
S2240,Female,23,CS,73.24,97.84,79.45,73.81,57.68,7.86,51.15,C,10.0,Yes,Yes,High,3,5.1
S2241,Female,23,CS,80.47,41.32,51.28,90.81,81.97,4.74,79.05,B,23.0,No,Yes,Medium,1,8.9
S2242,Female,24,CS,71.09,86.12,46.71,83.98,52.13,8.74,62.22,D,5.3,No,Yes,Medium,6,7.8
S2243,Male,20,CS,50.96,97.93,79.65,74.79867276377426,68.96,8.34,76.66,C,23.2,Yes,Yes,High,10,7.1
S2244,Female,24,Engineering,75.431409455843,60.33,80.58,61.31,90.38,8.63,63.96,A,19.9,No,Yes,High,4,8.9
S2245,Male,24,Engineering,68.36,78.89,61.97,64.28,64.76,1.3,65.79,C,17.8,Yes,Yes,High,9,7.8
S2246,Male,22,Business,75.431409455843,73.73,90.57,56.18,96.57,2.44,80.09,D,27.7,Yes,Yes,Medium,4,4.6
S2247,Female,24,Engineering,66.28,85.69,98.69,74.79867276377426,97.79,0.3,76.94,F,25.7,Yes,Yes,Low,10,9.0
S2248,Male,21,CS,73.75,91.97,52.34,86.43,90.79,9.83,69.76,B,15.5,Yes,Yes,Low,6,7.0
S2249,Male,24,CS,69.42,76.18,74.62,62.07,99.38,2.36,55.38,C,5.2,No,Yes,High,8,5.5
S2250,Female,23,Engineering,67.13,88.95,40.32,91.77,76.54,3.67,98.47,A,22.8,No,Yes,Medium,5,8.1
S2251,Male,19,CS,51.09,58.74,82.78,73.48,78.46,2.75,58.73,F,6.2,Yes,Yes,Low,3,4.2
S2252,Male,23,CS,68.0,53.72,64.86,66.15,91.81,0.4,81.66,B,12.0,No,Yes,Low,9,7.3
S2253,Female,22,CS,94.47,65.84,51.6,70.62,74.64,2.61,54.14,A,17.3,Yes,Yes,Low,3,4.8
S2254,Female,21,CS,84.52,80.66,85.13,74.79867276377426,70.34,0.98,84.42,A,7.5,Yes,Yes,Low,9,4.4
S2255,Male,24,CS,57.27,51.23,88.64,75.84,80.74,3.94,54.74,D,22.0,No,Yes,High,2,5.8
S2256,Female,20,Business,79.56,80.82,46.67,50.36,82.88,9.67,61.48,C,13.0,No,Yes,High,8,5.8
S2257,Female,18,Business,94.61,63.65,42.46,96.12,87.54,6.98,82.35,A,14.0,No,Yes,High,6,7.0
S2258,Male,24,CS,85.0,87.73,60.04,53.3,83.41,7.07,64.15,F,21.2,No,Yes,Low,9,6.8
S2259,Male,19,CS,57.43,42.21,77.56,96.93,87.29,4.53,76.64,D,15.0,No,Yes,Low,5,7.4
S2260,Female,18,Business,75.431409455843,80.08,87.61,74.79867276377426,83.73,8.11,56.23,C,10.6,No,Yes,Low,4,4.9
S2261,Male,20,CS,65.08,78.99,72.76,74.79867276377426,74.02,9.08,60.12,F,9.4,Yes,Yes,Low,2,8.4
S2262,Female,22,CS,72.7,96.46,74.84,76.73,56.75,9.62,86.69,D,23.1,Yes,Yes,Low,1,8.3
S2263,Female,22,CS,76.31,82.8,87.99,75.29,89.27,0.99,51.76,C,23.8,Yes,Yes,High,4,5.1
S2264,Male,20,CS,75.431409455843,87.78,71.73,53.64,51.54,8.8,55.59,C,9.9,Yes,Yes,High,8,6.4
S2265,Male,23,Business,96.58,94.28,76.67,61.94,99.63,2.25,60.75,A,13.0,No,Yes,Low,10,6.4
S2266,Female,20,Business,96.48,80.5,70.97,88.88,91.42,3.97,51.01,B,28.9,Yes,Yes,Low,9,8.6
S2267,Female,24,CS,50.4,57.41,92.83,74.79867276377426,83.55,3.45,54.77,D,29.6,No,Yes,Low,1,8.5
S2268,Female,19,CS,96.09,92.19,54.13,76.46,98.33,6.75,64.07,A,19.6,No,Yes,Medium,2,4.3
S2269,Female,21,CS,52.72,84.85,55.84,67.67,80.62,5.98,54.65,F,23.9,No,Yes,Medium,3,8.8
S2270,Male,24,CS,63.29,65.47,47.68,53.0,52.82,1.09,93.31,B,23.7,Yes,Yes,Medium,8,4.3
S2271,Female,24,Mathematics,75.75,82.63,89.17,84.11,77.97,7.83,53.3,C,14.9,No,Yes,High,9,6.7
S2272,Male,24,Engineering,74.0,92.06,64.71,63.92,63.86,4.4,93.05,F,6.2,No,Yes,Low,3,5.6
S2273,Male,18,Engineering,80.24,98.54,60.87,52.75,68.47,0.02,91.14,F,23.5,No,Yes,Low,4,6.0
S2274,Female,18,Business,73.97,97.14,98.88,83.29,72.98,4.15,55.04,A,8.4,No,No,Low,8,7.1
S2275,Male,22,Business,96.72,59.52,95.61,74.29,88.73,5.16,51.26,A,12.3,No,Yes,Low,3,6.9
S2276,Male,24,Business,62.03,65.3,98.32,74.79867276377426,75.15,0.69,52.5,C,12.9,No,Yes,Medium,6,4.8
S2277,Female,23,CS,63.7,46.57,48.54,55.55,73.73,1.51,79.52,D,13.7,No,Yes,Low,1,8.8
S2278,Male,22,CS,96.04,54.85,93.48,84.96,65.1,9.94,83.52,A,16.6,No,Yes,Medium,7,4.1
S2279,Male,19,Engineering,75.431409455843,92.95,59.72,53.18,76.99,8.71,81.03,F,17.5,No,Yes,Medium,5,5.7
S2280,Female,20,CS,80.48,61.65,40.76,93.3,62.42,1.33,77.07,D,17.1,Yes,Yes,Medium,4,8.0
S2281,Female,18,Mathematics,84.09,77.23,63.48,65.57,63.05,5.8,58.73,A,9.1,No,Yes,Low,8,8.3
S2282,Female,24,Engineering,75.28,79.96,70.55,54.43,87.86,3.79,92.05,D,21.2,No,Yes,Medium,8,8.0
S2283,Female,19,Mathematics,84.71,86.91,46.49,74.79867276377426,67.13,5.44,66.38,F,24.8,No,Yes,Low,7,5.9
S2284,Female,22,CS,58.64,50.97,72.26,76.22,52.57,4.71,99.31,C,16.5,No,Yes,High,1,7.4
S2285,Female,22,Business,92.63,58.29,89.17,65.33,67.18,0.48,69.24,A,26.0,Yes,Yes,Medium,10,7.8
S2286,Female,18,CS,57.0,66.9,62.66,70.3,81.93,3.15,63.15,C,16.1,Yes,Yes,Low,6,6.9
S2287,Male,22,Mathematics,70.04,61.89,61.16,51.07,90.7,1.26,94.71,D,19.2,Yes,Yes,Medium,3,7.4
S2288,Male,23,CS,53.76,98.97,60.33,74.79867276377426,98.1,4.89,78.37,C,6.7,No,Yes,Low,8,6.8
S2289,Female,22,Engineering,77.26,90.1,95.39,68.29,87.31,9.07,86.09,B,8.7,No,Yes,Low,10,4.3
S2290,Male,21,Business,83.49,68.78,42.93,85.7,71.44,9.96,70.42,A,24.2,Yes,Yes,Low,3,5.4
S2291,Male,20,Engineering,97.06,92.76,66.7,81.41,64.96,9.44,94.35,B,11.2,No,Yes,Low,8,7.5
S2292,Female,22,Engineering,86.97,60.86,55.88,82.56,56.48,9.86,95.89,A,7.3,No,Yes,High,5,5.2
S2293,Male,21,Mathematics,75.431409455843,87.15,93.63,89.64,81.38,0.15,71.84,D,19.2,Yes,Yes,Medium,5,6.3
S2294,Female,19,Engineering,96.63,53.42,45.76,81.56,75.49,7.29,62.04,B,7.4,No,Yes,Low,8,6.7
S2295,Male,22,Engineering,75.431409455843,86.34,64.69,70.94,83.89,2.73,82.38,C,22.1,No,Yes,Medium,3,7.4
S2296,Female,23,CS,78.06,67.39,64.41,69.5,61.86,8.66,97.73,B,22.2,No,Yes,Medium,4,5.3
S2297,Male,19,Business,79.8,46.45,93.3,74.79867276377426,66.18,8.14,81.12,B,16.3,No,Yes,Low,1,7.0
S2298,Male,24,Engineering,70.5,56.4,52.93,88.97,64.6,4.24,97.71,C,22.1,No,Yes,Medium,9,7.0
S2299,Male,22,Engineering,91.92,64.14,78.69,88.06,89.88,4.73,67.19,A,25.0,No,Yes,Medium,3,8.2
S2300,Female,18,CS,59.26,84.96,48.06,62.31,58.56,2.65,95.75,F,9.9,No,Yes,Low,8,6.8
S2301,Male,21,Engineering,77.74,44.38,97.24,93.13,80.42,2.89,55.63,C,21.2,No,Yes,Medium,1,5.5
S2302,Male,21,CS,86.11,79.57,75.58,79.45,52.57,9.81,67.94,A,22.3,No,Yes,High,1,6.6
S2303,Female,18,CS,95.2,82.96,77.58,73.93,77.48,8.89,74.72,A,9.9,Yes,Yes,Low,6,4.5
S2304,Female,20,Engineering,94.2,79.24,66.03,74.79867276377426,53.2,1.92,82.66,A,23.2,No,Yes,Medium,6,7.0
S2305,Male,24,CS,75.44,85.64,60.54,69.14,58.79,2.76,64.71,D,23.0,No,Yes,High,7,8.6
S2306,Male,23,CS,75.431409455843,50.69,52.76,82.03,55.65,1.09,96.21,C,8.9,No,Yes,High,1,6.6
S2307,Male,21,Engineering,69.71,75.23,76.24,54.49,67.34,9.89,95.17,C,12.9,Yes,Yes,Medium,3,5.5
S2308,Male,19,CS,73.41,96.47,97.27,72.98,67.19,9.07,89.97,F,28.5,Yes,Yes,Medium,4,6.0
S2309,Female,23,CS,95.31,76.65,61.59,99.67,91.32,5.52,55.72,B,6.8,Yes,Yes,Medium,9,8.5
S2310,Male,21,CS,96.54,76.68,92.99,85.83,61.28,6.93,53.91,A,10.7,No,Yes,High,8,8.1
S2311,Male,24,Engineering,94.77,84.19,48.93,77.34,54.32,7.48,74.91,A,19.5,No,Yes,Low,4,8.0
S2312,Female,20,Engineering,56.92,59.99,96.17,76.65,80.18,2.04,88.27,D,29.2,No,Yes,Medium,10,6.8
S2313,Male,24,Business,75.431409455843,82.03,61.03,74.79867276377426,84.37,9.35,56.16,F,11.4,Yes,Yes,Low,7,6.0
S2314,Male,19,CS,97.42,94.97,62.78,97.87,64.74,5.27,82.07,A,25.4,No,Yes,Low,9,4.7
S2315,Male,24,CS,68.06,40.65,67.77,96.41,80.14,0.92,76.39,B,14.2,No,Yes,Medium,10,8.9
S2316,Female,23,CS,75.93,92.21,83.09,84.12,88.8,3.97,86.3,C,13.8,No,Yes,Medium,10,4.9
S2317,Female,19,Engineering,88.95,53.12,83.18,54.95,67.38,6.02,71.77,A,29.9,No,Yes,Low,8,5.3
S2318,Male,18,Mathematics,78.1,67.36,68.78,60.39,76.27,3.53,84.66,F,25.4,No,Yes,Low,5,7.8
S2319,Male,22,CS,99.67,91.14,71.39,59.2,57.33,6.99,57.98,A,11.2,No,No,Low,9,5.8
S2320,Female,18,CS,72.79,89.43,41.8,75.98,51.18,8.82,60.73,C,9.6,No,Yes,High,5,6.9
S2321,Male,23,CS,85.7,93.52,58.26,60.39,99.07,7.72,95.17,A,7.1,No,No,Medium,3,7.8
S2322,Male,22,Engineering,89.63,96.43,60.76,74.79867276377426,64.99,6.43,66.47,A,17.1,No,Yes,Medium,6,6.8
S2323,Female,18,Engineering,74.71,66.83,73.52,77.26,63.95,5.12,99.28,D,13.4,Yes,Yes,High,3,6.5
S2324,Female,22,Engineering,92.85,79.38,73.5,50.88,98.66,2.54,52.31,B,14.5,No,Yes,Medium,2,4.3
S2325,Female,21,Business,77.31,63.43,82.59,87.2,86.41,4.55,74.79,B,15.8,No,Yes,High,7,6.4
S2326,Male,24,Engineering,70.58,61.04,83.02,59.44,79.26,2.93,66.25,F,29.8,No,Yes,High,3,6.3
S2327,Male,19,CS,55.39,65.9,54.11,91.24,84.97,9.34,99.8,C,5.1,No,Yes,Low,5,8.4
S2328,Male,22,CS,69.67,84.58,86.21,67.75,85.5,9.07,99.5,C,15.7,No,Yes,Medium,9,6.2
S2329,Male,21,Engineering,86.7,70.09,41.18,66.93,88.17,1.56,61.76,A,6.6,No,No,Medium,4,7.1
S2330,Female,24,Engineering,96.06,88.84,82.97,50.59,53.36,8.23,63.36,B,21.8,No,Yes,Medium,9,7.9
S2331,Male,24,Engineering,62.58,84.71,46.12,99.39,70.64,7.03,87.48,B,6.3,No,Yes,Medium,6,6.3
S2332,Male,20,Engineering,67.76,41.23,83.78,80.6,64.76,9.75,94.48,F,24.2,No,Yes,Low,3,5.3
S2333,Female,18,Engineering,75.431409455843,77.81,71.63,71.14,53.53,4.63,83.18,A,26.7,No,Yes,High,1,8.5
S2334,Female,20,Business,84.54,66.19,66.24,54.83,70.63,7.22,93.24,A,29.3,Yes,Yes,Low,8,8.5
S2335,Male,23,Engineering,98.01,67.4,81.44,84.96,80.81,5.18,53.16,A,8.0,No,Yes,Medium,10,8.5
S2336,Female,21,Business,82.05,89.1,42.18,64.14,58.92,0.69,82.03,A,29.5,Yes,Yes,Low,4,5.4
S2337,Female,20,CS,80.85,72.86,53.41,99.41,65.25,0.47,85.01,D,15.3,No,Yes,Medium,6,5.6
S2338,Male,20,Engineering,77.67,93.14,76.99,97.53,81.96,1.22,59.52,C,20.8,Yes,Yes,High,2,8.6
S2339,Male,24,Mathematics,54.42,82.77,90.83,86.76,78.97,2.96,88.9,D,5.0,No,Yes,Medium,4,4.6
S2340,Male,21,CS,75.431409455843,73.17,62.87,98.55,93.44,2.59,97.21,C,14.3,No,Yes,Medium,8,7.3
S2341,Male,24,Business,80.1,85.27,55.53,55.28,89.56,7.28,94.9,C,13.8,No,Yes,Low,2,5.5
S2342,Female,19,Business,83.07,42.3,71.12,74.79867276377426,98.28,7.16,62.25,C,17.6,No,Yes,Medium,6,7.6
S2343,Female,22,CS,94.94,41.63,77.34,62.66,79.86,9.71,66.2,A,8.3,No,Yes,High,2,8.2
S2344,Male,23,Engineering,89.2,45.0,65.21,53.6,84.92,3.1,74.98,A,22.3,No,Yes,High,8,6.0
S2345,Male,23,CS,89.05,66.25,92.6,98.61,93.03,9.38,57.92,A,19.9,No,Yes,Medium,3,4.8
S2346,Female,18,Mathematics,75.431409455843,54.13,71.41,53.0,92.0,6.13,97.7,D,10.3,Yes,Yes,Medium,9,7.7
S2347,Male,24,Business,99.5,99.06,42.15,92.83,85.94,4.95,58.08,A,29.6,Yes,Yes,Low,6,4.3
S2348,Male,22,CS,79.06,72.54,53.38,88.41,75.01,6.68,88.07,A,5.1,No,Yes,Medium,3,4.1
S2349,Male,18,CS,55.44,79.74,67.04,68.79,63.66,7.03,67.07,D,13.4,Yes,Yes,Medium,2,8.4
S2350,Male,23,Engineering,75.431409455843,56.73,81.86,50.94,93.86,1.72,78.69,B,11.5,No,No,Low,8,8.1
S2351,Female,22,CS,89.38,59.31,53.19,50.3,88.83,7.52,52.36,B,19.0,No,Yes,High,4,6.9
S2352,Male,20,CS,51.39,60.13,98.58,60.2,91.9,7.25,60.25,C,27.2,Yes,Yes,Medium,8,7.3
S2353,Female,19,Engineering,52.84,81.92,59.11,74.69,57.04,9.98,72.22,D,21.4,Yes,Yes,Medium,7,8.8
S2354,Male,20,CS,53.36,68.42,71.95,72.9,65.74,9.12,83.86,F,6.2,No,Yes,Low,2,4.3
S2355,Male,19,CS,86.55,71.06,41.14,79.26,71.24,6.85,88.88,A,26.6,Yes,Yes,Low,7,5.1
S2356,Female,24,Business,75.431409455843,75.52,93.09,74.79867276377426,91.92,7.12,51.51,C,11.6,Yes,Yes,Medium,4,7.6
S2357,Male,21,Mathematics,68.44,86.13,87.33,68.87,94.64,9.46,57.62,C,7.8,No,Yes,Medium,6,5.3
S2358,Female,18,Business,55.28,45.42,51.73,74.79867276377426,64.24,9.67,86.49,D,15.8,No,Yes,Medium,8,5.0
S2359,Male,18,Business,75.431409455843,86.61,95.99,90.0,84.32,8.27,90.65,A,27.5,No,Yes,Low,9,6.2
S2360,Male,21,CS,66.05,73.79,58.95,66.63,53.89,7.67,61.83,C,5.9,No,Yes,Medium,4,7.6
S2361,Male,22,CS,63.27,80.15,81.53,64.34,70.48,1.11,61.48,B,20.6,No,Yes,Medium,3,5.1
S2362,Male,21,CS,82.62,59.65,89.14,88.22,74.33,8.3,54.4,F,13.3,No,Yes,Medium,2,6.1
S2363,Male,24,Business,77.95,64.56,84.45,96.71,88.28,2.53,57.51,A,20.6,No,Yes,Medium,4,6.6
S2364,Female,23,Mathematics,68.12,53.87,95.05,95.75,94.6,5.64,50.4,B,11.7,No,Yes,Medium,2,4.9
S2365,Female,21,Business,82.07,98.76,91.86,56.87,66.86,4.05,79.49,F,29.2,No,Yes,High,3,6.4
S2366,Male,19,Business,75.431409455843,69.82,99.68,74.79867276377426,76.39,3.46,95.19,F,7.8,No,Yes,High,1,8.3
S2367,Male,23,Engineering,89.74,99.76,50.96,54.64,82.37,3.1,57.48,A,8.9,No,Yes,Medium,7,7.7
S2368,Female,21,CS,61.47,69.39,58.29,98.05,66.43,8.55,87.57,C,6.1,No,Yes,Low,6,6.5
S2369,Female,18,Engineering,57.94,53.19,78.17,60.76,99.28,7.69,78.68,F,24.9,No,Yes,Low,1,4.6
S2370,Male,20,CS,89.12,70.45,83.98,59.87,93.79,5.23,97.0,A,7.3,No,Yes,Medium,9,4.1
S2371,Male,19,CS,85.39,42.38,72.08,94.44,64.82,6.64,89.91,B,11.9,Yes,Yes,Low,6,4.3
S2372,Female,24,Engineering,59.13,94.29,44.44,98.39,75.4,9.85,92.64,C,10.1,No,Yes,Medium,5,7.8
S2373,Male,19,Engineering,55.81,89.11,90.5,84.88,61.54,3.98,81.96,C,13.8,No,Yes,Medium,1,7.5
S2374,Female,22,Engineering,91.92,83.55,97.65,56.05,75.73,5.51,90.57,A,24.1,Yes,Yes,Medium,10,7.7
S2375,Male,20,Engineering,88.83,76.59,64.33,74.29,84.17,5.34,67.54,A,28.8,No,Yes,Low,5,5.5
S2376,Female,19,CS,66.36,74.79,53.49,90.83,54.28,9.36,60.45,A,27.0,Yes,No,Low,2,4.4
S2377,Female,21,Engineering,75.431409455843,99.8,41.16,78.62,93.51,3.52,95.63,A,26.0,No,Yes,High,7,7.6
S2378,Male,19,Engineering,56.21,56.68,54.24,56.63,79.69,9.86,86.72,F,15.4,No,Yes,Low,6,8.6
S2379,Female,19,CS,75.431409455843,86.78,82.0,58.59,99.48,3.05,54.54,D,25.0,No,Yes,High,4,6.3
S2380,Male,19,Business,50.94,74.88,94.7,93.21,51.28,1.09,93.35,F,24.4,No,Yes,Medium,3,7.8
S2381,Male,22,Engineering,69.58,98.55,45.61,76.35,91.57,1.91,67.45,F,11.2,No,Yes,Low,5,7.6
S2382,Male,19,Engineering,53.74,89.67,73.2,85.29,89.6,4.26,64.91,F,11.6,Yes,Yes,Low,3,8.3
S2383,Male,19,Business,73.76,99.91,81.73,68.65,56.64,6.5,81.17,A,17.5,No,No,Medium,9,4.1
S2384,Female,22,Business,71.08,75.3,56.58,76.62,66.77,5.17,78.43,F,29.1,Yes,Yes,Low,6,8.8
S2385,Male,23,Business,75.431409455843,52.27,74.19,74.79867276377426,94.24,3.76,76.91,C,7.7,Yes,Yes,High,10,8.3
S2386,Male,20,CS,52.27,70.22,82.91,66.49,75.92,5.62,62.74,C,29.7,No,Yes,Medium,2,8.4
S2387,Male,24,CS,68.08,82.67,90.26,83.74,70.06,8.39,97.99,F,9.0,No,No,Medium,7,9.0
S2388,Male,23,CS,87.82,86.46,67.15,58.63,95.27,8.39,97.51,A,17.1,No,Yes,High,8,7.2
S2389,Female,18,CS,68.45,40.03,84.87,56.09,54.67,7.26,50.21,C,12.6,Yes,Yes,Low,9,4.4
S2390,Male,22,Mathematics,85.76,70.3,58.11,74.79867276377426,73.66,9.52,66.89,B,15.5,No,Yes,High,4,8.1
S2391,Female,22,Engineering,68.47,54.11,52.78,92.21,82.62,5.9,52.28,D,28.9,Yes,Yes,High,1,4.7
S2392,Female,19,CS,75.431409455843,92.49,51.24,83.42,80.43,0.08,92.51,D,20.8,No,Yes,Medium,8,7.7
S2393,Female,19,CS,78.19,49.17,61.53,74.79867276377426,63.21,2.91,94.33,A,12.4,No,Yes,Low,10,6.1
